a bit of,[ə bɪt əv],一点儿,
a bunch of,[ə bənʧ əv],一群；一束；一堆,
a burst of,[ə bərst əv],一阵,
a case in point,[ə keɪs ɪn pɔɪnt],恰当的例子；典型的例子,
a chunk of,[ə ʧəŋk əv],一大块；大量的,
a couple of,[ə ˈkəpəl əv],一对；几个,
a dozen of,[ə ˈdəzən əv],一打,
a fraction of,[ə ˈfrækʃən əv],一部分,
a great deal of,[ə greɪt dil əv],大量,"[E] It is now believed that the process of colonization required a great deal of skill,  determination, and planning and could not have happened by chance"
a handful of,[ə ˈhændˌfʊl əv],火少数；一小撮,
a host of,[ə hoʊst əv],许多；大量,Yet this most fundamental standard of historical periodization conceals a host of paradoxes
a large number of,[ə lɑrʤ ˈnəmbər əv],大量的,It allows researchers to observe the growth of a large number of plants simultaneously
a large proportion of,[ə lɑrʤ prəˈpɔrʃən əv],大部分的,
a large quantity of,[ə lɑrʤ kˈwɑntəti əv],大量的,This topic asks you to assess the value of the access to a large quantity of information that the Internet provides us with these days
a majority of,[ə məˈʤɔrəti əv],大多数的；大部分的,
a bit of,[ə bɪt əv],一点儿,
a bunch of,[ə bənʧ əv],一群；一束；一堆,
a burst of,[ə bərst əv],一阵,
a case in point,[ə keɪs ɪn pɔɪnt],恰当的例子；典型的例子,
a chunk of,[ə ʧəŋk əv],一大块；大量的,
a couple of,[ə ˈkəpəl əv],一对；几个,
a dozen of,[ə ˈdəzən əv],一打,
a fraction of,[ə ˈfrækʃən əv],一部分,
a great deal of,[ə greɪt dil əv],大量,"[E] It is now believed that the process of colonization required a great deal of skill,  determination, and planning and could not have happened by chance"
a handful of,[ə ˈhændˌfʊl əv],火少数；一小撮,
a host of,[ə hoʊst əv],许多；大量,Yet this most fundamental standard of historical periodization conceals a host of paradoxes
a large number of,[ə lɑrʤ ˈnəmbər əv],大量的,It allows researchers to observe the growth of a large number of plants simultaneously
a large proportion of,[ə lɑrʤ prəˈpɔrʃən əv],大部分的,
a large quantity of,[ə lɑrʤ kˈwɑntəti əv], 大量的,This topic asks you to assess the value of the access to a large quantity of information that the Internet provides us with these days
a majority of,[ə məˈʤɔrəti əv],大多数的；大部分的,
a mass of,[ə mæs əv],大量的,
a mix of,[ə mɪks əv],......的混合,
a multitude of,[ə ˈməltəˌtud əv],许多；大量,
a portion of,[ə ˈpɔrʃən əv],......的一部分,"In fact, franchise owners have to pay a portion of their income to the parent company in return for advertising services"
a range of,[ə reɪnʤ əv],一系列；一些；一套,"The Chinese themselves adapted many specific vessel forms from the West, such as bottles with long spouts, and designed a range of decorative patterns especially for the European market"
a sense of,[ə sɛns əv],一种......的感党,"The  traditional encyclopedia provides a considered view of what topics to include or exclude and  contains a sense of proportion that on line ""democratic"" communal encyclopedias do not"
a series of,[ə ˈsɪriz əv],一系列,"Within a few weeks in 1609 and 1610 , he made a series of astron omical discoveries that marked a new era in astronomy"
a set of,[ə sɛt əv],一套；一组；一副,
